source_director,target_director
Christopher Guest,Tony Leondis
Christopher Guest,Robert Vince
Christopher Guest,Eric Idle
Christopher Guest,Aubrey Powell
Christopher Guest,Robert Altman
Christopher Guest,Bryan Singer
Christopher Guest,Peyton Reed
Christopher Guest,Chad Van De Keere
Christopher Guest,Scott Hicks
Christopher Guest,Robert Luketic
Christopher Guest,Nora Ephron
Christopher Guest,Michael Paul Stephenson
Christopher Guest,Dan Harris
Christopher Guest,Wes Craven
Christopher Guest,Chris Kelly
Christopher Guest,Vadim Jean
Christopher Guest,Phil Johnston
Christopher Guest,Gil Kenan
Christopher Guest,Danny Leiner
Christopher Guest,Rich Moore
Christopher Guest,M. Night Shyamalan
Christopher Guest,Jay Roach
Christopher Guest,Ricky Gervais
Christopher Guest,Roland Emmerich
Christopher Guest,Oren Uziel
Christopher Guest,Mark Dindal
Christopher Guest,Tom Shadyac
Christopher Guest,Mark Rosman
Christopher Guest,Frank Coraci
Christopher Guest,Michael Gallagher
Ketan Mehta,Rajkumar Hirani
Ketan Mehta,Rajiv Mehra
Ketan Mehta,Umesh Mehra
Ketan Mehta,Latif Faiziyev
Ketan Mehta,Vivek Wagh
Ketan Mehta,Nagesh Kukunoor
Ketan Mehta,Priyadarshan
Ketan Mehta,Satish Kaushik
Ketan Mehta,Anees Bazmee
Ketan Mehta,Milan Luthria
Ketan Mehta,Madhur Bhandarkar
Ketan Mehta,Ananth Narayan Mahadevan
Ketan Mehta,Ram Gopal Varma
Ketan Mehta,Rakeysh Omprakash Mehra
Ketan Mehta,Anurag Kashyap
Ketan Mehta,Ashutosh Gowariker
Ketan Mehta,Aziz Mirza
Ketan Mehta,Sameer Sharma
Ketan Mehta,Mastan Alibhai Burmawalla
Ketan Mehta,Abbas Alibhai Burmawalla
Ketan Mehta,Ayaan Mukherji
Ketan Mehta,Mikhil Musale
Ketan Mehta,Abhishek Sharma
Ketan Mehta,Sanjiv Jaiswal
Ketan Mehta,Steven Spielberg
Ketan Mehta,Gajendra Ahire
Ketan Mehta,Radhika Rao
Ketan Mehta,Vinay Sapru
Ketan Mehta,Neeraj Pandey
Ketan Mehta,Kookie V. Gulati
Ketan Mehta,Umesh Shukla
Ketan Mehta,Sajid Khan
Ketan Mehta,Nishikant Kamat
Ketan Mehta,Dibakar Banerjee
Ketan Mehta,Tigmanshu Dhulia
Ketan Mehta,Kunal Deshmukh
Ketan Mehta,Prakash Jha
Ketan Mehta,Shyam Benegal
Ketan Mehta,Satyajit Bhatkal
Ketan Mehta,Sachin Yardi
Ketan Mehta,Rahul Dholakia
Ketan Mehta,Aamir Khan
