source_director,target_director
Anubhav Sinha,Raj Kumar Gupta
Anubhav Sinha,Anees Bazmee
Anubhav Sinha,Sriram Raghavan
Anubhav Sinha,Faraz Haider
Anubhav Sinha,Ashwiny Iyer Tiwari
Anubhav Sinha,Aanand Rai
Anubhav Sinha,Dharmendra Suresh Desai
Anubhav Sinha,Nila Madhab Panda
Anubhav Sinha,Neeraj Pandey
Anubhav Sinha,Anurag Basu
Anubhav Sinha,Raj Babu
Anubhav Sinha,Pa. Ranjith
Anubhav Sinha,S.S. Rajamouli
Anubhav Sinha,Ahishor Solomon
Anubhav Sinha,Anthony D'Souza
Anubhav Sinha,Rajesh Mapuskar
Anubhav Sinha,Qaushiq Mukherjee
Anubhav Sinha,Kunal Deshmukh
Anubhav Sinha,Atanu Mukherjee
Anubhav Sinha,Kabir Khan
Anubhav Sinha,Anil Sharma
Tharun Bhascker,Manoj Beedha
Tom Gianas,James Ponsoldt
Tom Gianas,Ken Marino
Tom Gianas,Jessica Yu
Tom Gianas,Jim Field Smith
Tom Gianas,Franck Ekinci
Tom Gianas,Maura Tierney
Tom Gianas,Steven Brill
Tom Gianas,Stig Bergqvist
Tom Gianas,Adam Shankman
Tom Gianas,Lana Wachowski
Tom Gianas,Johnny Castuciano
Tom Gianas,Matt Reeves
Tom Gianas,Neal Brennan
Tom Gianas,John Sanford
Tom Gianas,Michael Blieden
Tom Gianas,Mark Rosman
Tom Gianas,Frank Coraci
Tom Gianas,Dash Shaw
Tom Gianas,Jack Black
Tom Gianas,Craig Gillespie
Tom Gianas,Allen Hughes
Tom Gianas,Byron Howard
Tom Gianas,Annabelle Gurwitch
Tom Gianas,Elaine Bogan
Tom Gianas,Steve Carr
Tom Gianas,Fred Armisen
Tom Gianas,Jesse Peretz
Tom Gianas,Jody Hill
Tom Gianas,Christopher Guest
Tom Gianas,Jenna Fischer
Tom Gianas,Brad Bird
Tom Gianas,Dennis Dugan
Tom Gianas,Lilly Wachowski
Tom Gianas,Jay Baruchel
Tom Gianas,Stephanie Courtney
Tom Gianas,Ross R. Shuman
Tom Gianas,Jeff Wadlow
Tom Gianas,Christian Desmares
Tom Gianas,Gaby Dellal
Tom Gianas,Isaac Rentz
Tom Gianas,Paul Demeyer
Tom Gianas,David Cross
Tom Gianas,Tony Leondis
Tom Gianas,Albert Hughes
Tom Gianas,Kathleen Roll
Tom Gianas,Adam McKay
Tom Gianas,Matt Price
Tom Gianas,Roy Burdine
Tom Gianas,Akiva Schaffer
Tom Gianas,Ken Kwapis
Tom Gianas,Jason Reitman
Tom Gianas,Chris Williams
Tom Gianas,Jordan Brady
Tom Gianas,Matthew Cooke
Tom Gianas,Michael Paul Stephenson
Ross R. Shuman,James Ponsoldt
Ross R. Shuman,Ken Marino
Ross R. Shuman,Jessica Yu
Ross R. Shuman,Jim Field Smith
Ross R. Shuman,Franck Ekinci
Ross R. Shuman,Maura Tierney
Ross R. Shuman,Steven Brill
Ross R. Shuman,Stig Bergqvist
Ross R. Shuman,Adam Shankman
Ross R. Shuman,Lana Wachowski
Ross R. Shuman,Johnny Castuciano
Ross R. Shuman,Matt Reeves
Ross R. Shuman,Neal Brennan
Ross R. Shuman,John Sanford
Ross R. Shuman,Michael Blieden
Ross R. Shuman,Mark Rosman
Ross R. Shuman,Frank Coraci
Ross R. Shuman,Dash Shaw
Ross R. Shuman,Jack Black
Ross R. Shuman,Craig Gillespie
Ross R. Shuman,Allen Hughes
Ross R. Shuman,Byron Howard
Ross R. Shuman,Annabelle Gurwitch
Ross R. Shuman,Elaine Bogan
Ross R. Shuman,Steve Carr
Ross R. Shuman,Fred Armisen
Ross R. Shuman,Jesse Peretz
Ross R. Shuman,Jody Hill
Ross R. Shuman,Christopher Guest
Ross R. Shuman,Jenna Fischer
Ross R. Shuman,Brad Bird
Ross R. Shuman,Dennis Dugan
Ross R. Shuman,Lilly Wachowski
Ross R. Shuman,Jay Baruchel
Ross R. Shuman,Stephanie Courtney
Ross R. Shuman,Jeff Wadlow
Ross R. Shuman,Christian Desmares
Ross R. Shuman,Gaby Dellal
Ross R. Shuman,Isaac Rentz
Ross R. Shuman,Paul Demeyer
Ross R. Shuman,David Cross
Ross R. Shuman,Tony Leondis
Ross R. Shuman,Albert Hughes
Ross R. Shuman,Kathleen Roll
Ross R. Shuman,Adam McKay
Ross R. Shuman,Matt Price
Ross R. Shuman,Roy Burdine
Ross R. Shuman,Akiva Schaffer
Ross R. Shuman,Ken Kwapis
Ross R. Shuman,Jason Reitman
Ross R. Shuman,Chris Williams
Ross R. Shuman,Jordan Brady
Ross R. Shuman,Matthew Cooke
Ross R. Shuman,Michael Paul Stephenson
Rajkumar Hirani,Paritosh Painter
Rajkumar Hirani,Deepti Naval
Rajkumar Hirani,Nikhil Advani
Rajkumar Hirani,Onir
Rajkumar Hirani,Farah Khan
Rajkumar Hirani,Mahesh Manjrekar
Rajkumar Hirani,Abhishek Sharma
Rajkumar Hirani,Vivek Agnihotri
