kevin_bacon,max_dist,connected_component_size
Florence Thomassin,1,7
Stéphane Rideau,1,7
Pierre Berriau,1,7
Artiwara Kongmalai,0,1
Liam Ainsworth,1,15
Robert Mitchell,1,15
Grant Kilburn,1,15
Thomas Davison,1,15
Mark Stanley,1,15
Paul Luebke,1,15
Scott Kyle,1,15
Jon-Paul Bell,1,15
Andy Gibbins,1,15
Benjamin O'Mahony,1,15
Bryan Parry,1,15
David Elliot,1,15
Ali Cook,1,15
Malachi Kirby,1,15
John Doughty,1,15
Jose Atuncar,1,9
Gabriella Jordan,1,9
Andrei Indreies,1,9
Antoine Rodriguez,1,9
Pierre Porquet,1,9
Claudine Bertin,1,9
Catalin Morar,1,9
Jean-Baptiste Heuet,1,9
Effie Rey,1,9
Jacob Buster,1,10
Grace Hallows,1,10
Evan Clark,1,10
Josh Reid,1,10
Caitlin E.J. Meyer,1,10
Alison Akin Clark,1,10
Cooper Daniel Johnson,1,10
Gabe White,1,10
Brian Neal Clark,1,10
Anson Bagley,1,10
Dermot Magennis,1,6
Susie Power,1,6
J. Drew Lucas,1,6
Roger Gregg,1,6
Paul Tylak,1,6
Marcus Lamb,1,6
Ai Weiwei,1,2
Lao Ai,1,2
Brendan Fairclough,1,9
Josh Bryceland,1,9
Andrew Neethling,1,9
Sam Hill,1,9
Ryan Howard,1,9
Nico Vink,1,9
Olly Wilkins,1,9
Kyle Jameson,1,9
Brandon Semenuk,1,9
Hans Zimmer,0,1
Imke Buchel,1,10
Martina Hill,1,10
Olaf Schubert,1,10
Marie Leuenberger,1,10
Christoph Jungmann,1,10
Mario Adorf,1,10
Hildegard Schroedter,1,10
Jochen Barkas,1,10
Bert Stephan,1,10
Luise Wolfram,1,10
Jonathan Howard,1,4
Jess Liaudin,1,4
Jonathan Demurger,1,4
Fanny Valette,1,4
K.G. Chandani Renuka Ratnayake,0,1
Demetri Goritsas,0,1
Andreas Segeritz,1,7
Giulia Dichiaro,1,7
Albrecht Weimer,1,7
Leone Frisa,1,7
Francesco Migliore,1,7
Paolo Vaccarino,1,7
Alessandra Oriti Niosi,1,7
Eric Meyers,0,1
Franco Escamilla,0,1
Travis McCoy,1,10
Axle McCoy,1,10
Alexis Louder,1,10
Jordan Padreira,1,10
DeVaughn Gow,1,10
LaVaughn Hamilton,1,10
Tyler Jade Nixon,1,10
Maya Simmons,1,10
Derek Lee Nixon,1,10
Quddus Newton,1,10
Jiro Ono,0,1
Diana Fernández Pérez,1,6
Ella Jazz,1,6
August Wittgenstein,1,6
Sanin Milavic,1,6
Alma Terzic,1,6
Aleksandar Seksan,1,6
Jesús Abad Colorado,0,1
Karyme Lozano,1,10
Cuauhtémoc Duque,1,10
Paulina Goto,1,10
David Villegas,1,10
Xavier Cervantes,1,10
Alex Sirvent,1,10
Ana Layevska,1,10
Rodrigo Treviño,1,10
Fernando Estrada,1,10
Alejandro Oliva,1,10
Tom Scarlett,1,6
Colin Stark,1,6
Georgia Bradley,1,6
Sam Carter,1,6
Nigel Morgan,1,6
Kitty Speed,1,6
William Powell,0,1
Sandeep Kulkarni,1,4
Sayli Patil,1,4
Suyog Rajendra Gorhe,1,4
Vidya Karanjikar,1,4
Hannah Gadsby,0,1
Robert Lazar,0,1
Fumio Demura,0,1
Pihu Myra Vishwakarma,0,1
Ohad Naharin,0,1
Jonathan Kydd,0,1
Fernanda Paes Leme,1,19
Ushio Shinohara,1,2
Noriko Shinohara,1,2
Crina Semciuc,1,22
Leonardo Boudreau,1,22
Flavia Hojda,1,22
Maria Dinulescu,1,22
Mihaela Mihut,1,22
Melanie Ebanks,1,22
Bogdan Iancu,1,22
Alex Calin,1,22
Olimpia Melinte,1,22
Holly Horne,1,22
Razvan Vasilescu,1,22
Silvia Busuioc,1,22
Basil Eidenbenz,1,22
Alina Chivulescu,1,22
Levent Sali,1,22
Vlad Logigan,1,22
Raluca Aprodu,1,22
Andromeda Godfrey,1,22
Aggy K. Adams,1,22
Ducu Darie,1,22
Dragos Bucur,1,22
Maia Morgenstern,1,22
Ben Ferencz,0,1
Adam Gussow,1,2
Sterling Magee,1,2
Bobbi Jene Smith,0,1
Malala Yousafzai,0,1
Rachael Stirling,0,1
William Ackman,0,1
Magnus Krepper,1,11
Sonja Halla-aho,1,11
Lauri Tanskanen,1,11
